"lat";"lon";"weight"
65.4246;-134.4499;0
45.9711;-75.4443;0
53.821;-132.5389;0
49.0707;-66.9913;0
66.3729;-135.6155;0
61.3456;-139.9794;0
49.5627;-126.9008;0
52.5615;-132.2053;0
47.5108;-128.8559;0
53.0526;-132.8303;0
49.0891;-125.6009;0
47.5126;-70.2892;0
49.1951;-122.3437;0
48.0147;-122.5153;0
58.3581;-138.1685;0
53.7889;-133.4605;0
50.1136;-129.616;0
47.4787;-69.9758;0
47.4809;-69.9748;0
47.4785;-69.9778;0
59.0864;-54.266;0
59.0713;-54.4989;0
51.8552;-131.6602;0
50.113;-129.6221;0
42.9203;-79.5513;0
52.8087;-132.289;0
44.9825;-74.7413;0
52.7888;-132.3883;0
50.0719;-130.0669;0
52.6683;-132.0598;0
49.5802;-127.0537;0
52.6338;-132.1306;0
49.6637;-127.1839;0
47.404;-70.4187;0
48.2408;-123.2372;0
45.1905;-73.7849;0
48.2343;-125.0164;0
48.25;-125.0159;0
48.235;-125.0114;0
48.1831;-125.0297;0
53.1037;-132.9187;0
48.0947;-124.9945;0
74.6686;-73.8994;0
48.0151;-124.3131;0
48.0509;-122.7242;0
48.5983;-125.1592;0
47.4684;-70.1041;0
47.4181;-70.4262;0
50.574;-130.4077;0
47.4268;-70.5076;0
47.4652;-128.8495;0
47.18;-121.21;0
51.4771;-89.7431;0
49.6443;-128.9771;0
48.7294;-128.7377;0
47.3835;-65.096;0
49.6915;-123.4076;0
53.5028;-117.3776;0
47.0395;-76.3344;0
65.7696;-85.1227;0
51.4208;-89.8985;0
52.7003;-132.3243;0
53.3545;-131.4536;0
54.047;-133.9071;0
53.2534;-132.8127;0
47.5126;-70.3863;0
48.8985;-128.6681;0
48.8956;-128.6531;0
48.9129;-128.5917;0
61.9583;-135.4705;0
48.8978;-128.6477;0
52.5747;-131.9948;0
49.7055;-123.4054;0
52.8798;-132.5346;0
48.904;-128.631;0
49.73;-67.112;0
49.1921;-130.1378;0
49.5882;-68.4125;0
46.394;-80.3533;0
49.753;-66.5042;0
47.4369;-70.3706;0
53.2151;-131.2542;0
71.3153;-136.4709;0
49.8826;-123.8979;0
52.8529;-132.4803;0
47.1758;-76.5585;0
71.2112;-73.1329;0
49.1877;-130.0555;0
49.1867;-130.0362;0
49.1707;-130.2168;0
45.7156;-75.3979;0
65.1259;-137.9676;0
52.7793;-132.3332;0
52.7911;-132.3194;0
49.4641;-126.8521;0
47.071;-69.8922;0
64.902;-133.6603;0
47.5141;-70.0407;0
47.5145;-70.0405;0
47.5339;-70.2939;0
47.6757;-69.8886;0
49.6557;-65.3014;0
64.6926;-110.6595;0
59.5511;-138.8032;0
59.8786;-139.5497;0
48.1592;-71.0941;0
58.8132;-136.35;0
49.5492;-91.5217;0
48.7229;-122.9776;0
47.5229;-69.9311;0
75.1597;-119.1776;0
44.6138;-73.5174;0
49.9842;-127.756;0
49.9898;-127.7571;0
48.9564;-125.553;0
53.411;-131.3836;0
47.7656;-69.9497;0
47.3556;-70.5289;0
50.6437;-130.4424;0
49.1839;-115.156;0
49.158;-127.9073;0
49.6282;-122.1633;0
50.0096;-130.1734;0
